combo,phase,hand_x,hand_y,hand_z,blade_x,blade_y,blade_z
0,0,27,32,116,0.3,0.68,0.65
0,0.01,27.1158,31.8991,116.108,0.302167,0.676339,0.648917
0,0.02,27.4519,31.6064,116.423,0.308455,0.665714,0.645773
0,0.03,27.9913,31.1366,116.927,0.318548,0.648661,0.640726
0,0.04,28.7172,30.5044,117.606,0.332128,0.625714,0.633936
0,0.05,29.6125,29.7246,118.444,0.348879,0.597411,0.62556
0,0.06,30.6603,28.812,119.424,0.368484,0.564286,0.615758
0,0.07,31.8438,27.7812,120.531,0.390625,0.526875,0.604687
0,0.08,33.1458,26.6472,121.749,0.414985,0.485714,0.592507
0,0.09,34.5495,25.4247,123.062,0.441248,0.441339,0.579376
0,0.1,36.0379,24.1283,124.455,0.469096,0.394286,0.565452
0,0.11,37.5941,22.7729,125.911,0.498212,0.345089,0.550894
0,0.12,39.2012,21.3732,127.414,0.52828,0.294286,0.53586
0,0.13,40.8421,19.944,128.949,0.558981,0.242411,0.520509
0,0.14,42.5,18.5,130.5,0.59,0.19,0.505
0,0.15,44.1579,17.056,132.051,0.621019,0.137589,0.489491
0,0.16,45.7988,15.6268,133.586,0.65172,0.0857143,0.47414
0,0.17,47.4059,14.2271,135.089,0.681788,0.0349107,0.459106
0,0.18,48.9621,12.8717,136.545,0.710904,-0.0142858,0.444548
0,0.19,50.4505,11.5753,137.938,0.738752,-0.0613393,0.430624
0,0.2,51.8542,10.3528,139.251,0.765015,-0.105714,0.417493
0,0.21,53.1562,9.21875,140.469,0.789375,-0.146875,0.405313
0,0.22,54.3396,8.18805,141.576,0.811516,-0.184286,0.394242
0,0.23,55.3875,7.27542,142.556,0.831121,-0.217411,0.38444
0,0.24,56.2828,6.49563,143.394,0.847872,-0.245714,0.376064
0,0.25,57.0087,5.86343,144.073,0.861452,-0.268661,0.369274
0,0.26,57.5481,5.39359,144.577,0.871545,-0.285714,0.364227
0,0.27,57.8842,5.10086,144.892,0.877833,-0.296339,0.361083
0,0.28,58,5,145,0.88,-0.3,0.36
0,0.29,57.6447,5.35889,144.886,0.874427,-0.292273,0.358175
0,0.3,56.6113,6.40271,144.554,0.858213,-0.2698,0.352865
0,0.31,54.948,8.08073,144.02,0.83212,-0.233674,0.34432
0,0.32,52.7034,10.3377,143.299,0.796907,-0.185093,0.332788
0,0.33,49.9259,13.1106,142.407,0.753333,-0.125433,0.318519
0,0.34,46.664,16.3248,141.36,0.70216,-0.0563282,0.30176
0,0.35,42.9661,19.8922,140.173,0.644147,0.020278,0.282762
0,0.36,38.8806,23.7107,138.861,0.580053,0.102121,0.261772
0,0.37,34.456,27.6652,137.44,0.51064,0.186646,0.23904
0,0.38,29.7407,31.6319,135.926,0.436667,0.271094,0.214815
0,0.39,24.7833,35.4834,134.334,0.358893,0.352633,0.189345
0,0.4,19.632,39.0965,132.68,0.27808,0.428521,0.16288
0,0.41,14.3354,42.3602,130.979,0.194987,0.496289,0.135668
0,0.42,8.94193,45.183,129.247,0.110373,0.553922,0.107959
0,0.43,3.49999,47.5,127.5,0.0249999,0.6,0.08
0,0.44,-1.94193,49.2769,125.753,-0.0603735,0.633803,0.0520415
0,0.45,-7.33541,50.5116,124.021,-0.144987,0.655341,0.0243318
0,0.46,-12.632,51.2325,122.32,-0.22808,0.665321,-0.00288007
0,0.47,-17.7833,51.4946,120.666,-0.308893,0.665048,-0.0293452
0,0.48,-22.7407,51.3726,119.074,-0.386667,0.656279,-0.0548148
0,0.49,-27.456,50.9532,117.56,-0.46064,0.641046,-0.07904
0,0.5,-31.8806,50.3273,116.139,-0.530053,0.621469,-0.101772
0,0.51,-35.9661,49.5823,114.827,-0.594147,0.599597,-0.122761
0,0.52,-39.664,48.7968,113.64,-0.65216,0.577272,-0.14176
0,0.53,-42.9259,48.0365,112.593,-0.703333,0.556049,-0.158518
0,0.54,-45.7034,47.3531,111.701,-0.746907,0.537159,-0.172788
0,0.55,-47.948,46.7847,110.98,-0.78212,0.521525,-0.18432
0,0.56,-49.6113,46.358,110.446,-0.808213,0.509815,-0.192865
0,0.57,-50.6447,46.0916,110.114,-0.824427,0.502512,-0.198175
0,0.58,-51,46,110,-0.83,0.5,-0.2
0,0.59,-50.8695,45.9766,110.01,-0.828109,0.500301,-0.198577
0,0.6,-50.4862,45.9078,110.04,-0.822557,0.501186,-0.194401
0,0.61,-49.863,45.7959,110.087,-0.813528,0.502624,-0.187609
0,0.62,-49.0123,45.6432,110.153,-0.801204,0.504587,-0.178339
0,0.63,-47.9469,45.452,110.235,-0.785769,0.507046,-0.166729
0,0.64,-46.6793,45.2245,110.332,-0.767405,0.509971,-0.152915
0,0.65,-45.2222,44.963,110.444,-0.746296,0.513333,-0.137037
0,0.66,-43.5883,44.6697,110.57,-0.722625,0.517104,-0.119231
0,0.67,-41.7901,44.3469,110.708,-0.696574,0.521254,-0.0996355
0,0.68,-39.8403,43.997,110.858,-0.668327,0.525753,-0.0783878
0,0.69,-37.7515,43.6221,111.019,-0.638067,0.530573,-0.0556257
0,0.7,-35.5364,43.2245,111.19,-0.605977,0.535685,-0.0314869
0,0.71,-33.2076,42.8065,111.369,-0.572239,0.541059,-0.006109
0,0.72,-30.7778,42.3704,111.556,-0.537037,0.546667,0.0203705
0,0.73,-28.2595,41.9184,111.749,-0.500554,0.552478,0.0478135
0,0.74,-25.6654,41.4528,111.949,-0.462973,0.558465,0.0760825
0,0.75,-23.0081,40.9758,112.153,-0.424476,0.564597,0.10504
0,0.76,-20.3003,40.4898,112.362,-0.385248,0.570845,0.134548
0,0.77,-17.5546,39.997,112.573,-0.34547,0.577182,0.164469
0,0.78,-14.7836,39.4996,112.786,-0.305327,0.583576,0.194666
0,0.79,-12,39,113,-0.265,0.59,0.225
0,0.8,-9.21639,38.5004,113.214,-0.224673,0.596424,0.255334
0,0.81,-6.44542,38.003,113.427,-0.18453,0.602818,0.285531
0,0.82,-3.69971,37.5102,113.638,-0.144752,0.609155,0.315452
0,0.83,-0.991898,37.0242,113.847,-0.105524,0.615403,0.34496
0,0.84,1.66537,36.5472,114.051,-0.0670274,0.621535,0.373917
0,0.85,4.25948,36.0816,114.251,-0.0294459,0.627522,0.402187
0,0.86,6.77778,35.6296,114.444,0.0070371,0.633333,0.42963
0,0.87,9.20765,35.1935,114.631,0.0422391,0.638941,0.456109
0,0.88,11.5364,34.7755,114.81,0.0759767,0.644315,0.481487
0,0.89,13.7515,34.3779,114.981,0.108067,0.649427,0.505626
0,0.9,15.8403,34.003,115.142,0.138327,0.654247,0.528388
0,0.91,17.7901,33.6531,115.292,0.166574,0.658746,0.549636
0,0.92,19.5883,33.3303,115.43,0.192625,0.662896,0.569231
0,0.93,21.2222,33.037,115.556,0.216296,0.666667,0.587037
0,0.94,22.6793,32.7755,115.668,0.237405,0.670029,0.602915
0,0.95,23.9469,32.548,115.765,0.255769,0.672954,0.616729
0,0.96,25.0123,32.3568,115.847,0.271204,0.675413,0.628339
0,0.97,25.863,32.2041,115.913,0.283528,0.677376,0.637609
0,0.98,26.4862,32.0922,115.96,0.292557,0.678814,0.644401
0,0.99,26.8695,32.0234,115.99,0.298109,0.679699,0.648577
0,1,27,32,116,0.3,0.68,0.65
1,0,27,32,116,0.3,0.68,0.65
1,0.01,26.7385,31.9739,116.034,0.295368,0.678581,0.647012
1,0.02,25.9796,31.898,116.131,0.281924,0.674461,0.638338
1,0.03,24.7615,31.7761,116.288,0.260346,0.667848,0.624417
1,0.04,23.1224,31.6122,116.499,0.231312,0.65895,0.605685
1,0.05,21.1008,31.4101,116.758,0.195499,0.647976,0.58258
1,0.06,18.7347,31.1735,117.063,0.153586,0.635131,0.555539
1,0.07,16.0625,30.9062,117.406,0.10625,0.620625,0.525
1,0.08,13.1224,30.6122,117.784,0.0541691,0.604665,0.491399
1,0.09,9.9528,30.2953,118.192,-0.0019789,0.587458,0.455175
1,0.1,6.59184,29.9592,118.624,-0.061516,0.569213,0.416764
1,0.11,3.07781,29.6078,119.076,-0.123765,0.550137,0.376604
1,0.12,-0.551014,29.2449,119.542,-0.188047,0.530437,0.335131
1,0.13,-4.25637,28.8744,120.019,-0.253684,0.510323,0.292784
1,0.14,-8,28.5,120.5,-0.32,0.49,0.25
1,0.15,-11.7436,28.1256,120.981,-0.386316,0.469677,0.207216
1,0.16,-15.449,27.7551,121.458,-0.451953,0.449563,0.164869
1,0.17,-19.0778,27.3922,121.924,-0.516235,0.429863,0.123397
1,0.18,-22.5918,27.0408,122.376,-0.578484,0.410787,0.0832361
1,0.19,-25.9528,26.7047,122.808,-0.638021,0.392542,0.0448251
1,0.2,-29.1224,26.3878,123.216,-0.694169,0.375335,0.00860065
1,0.21,-32.0625,26.0938,123.594,-0.74625,0.359375,-0.025
1,0.22,-34.7347,25.8265,123.937,-0.793586,0.344869,-0.0555393
1,0.23,-37.1008,25.5899,124.242,-0.835499,0.332024,-0.0825802
1,0.24,-39.1224,25.3878,124.501,-0.871312,0.32105,-0.105685
1,0.25,-40.7615,25.2239,124.712,-0.900346,0.312152,-0.124417
1,0.26,-41.9796,25.102,124.869,-0.921924,0.305539,-0.138338
1,0.27,-42.7385,25.0261,124.966,-0.935368,0.301419,-0.147012
1,0.28,-43,25,125,-0.94,0.3,-0.15
1,0.29,-42.6871,25.2807,125.062,-0.934166,0.305608,-0.148664
1,0.3,-41.7769,26.0969,125.242,-0.917194,0.321919,-0.144776
1,0.31,-40.312,27.4087,125.532,-0.88988,0.348126,-0.13852
1,0.32,-38.3351,29.1715,125.923,-0.853019,0.383322,-0.130077
1,0.33,-35.8889,31.3328,126.407,-0.807407,0.426419,-0.11963
1,0.34,-33.016,33.8288,126.976,-0.75384,0.476072,-0.10736
1,0.35,-29.7591,36.582,127.621,-0.693113,0.530626,-0.0934504
1,0.36,-26.1609,39.5009,128.333,-0.626021,0.588106,-0.0780829
1,0.37,-22.264,42.4812,129.104,-0.55336,0.646246,-0.06144
1,0.38,-18.1111,45.4096,129.926,-0.475926,0.702576,-0.0437037
1,0.39,-13.7449,48.1696,130.79,-0.394514,0.754552,-0.0250563
